country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q664,New Zealand,0-14 child,4
http://www.wikidata.org/entity/Q664,New Zealand,15-24 youth,147
http://www.wikidata.org/entity/Q664,New Zealand,25-59 adult,5148
http://www.wikidata.org/entity/Q664,New Zealand,60+ senior,2948
http://www.wikidata.org/entity/Q811,Nicaragua,15-24 youth,11
http://www.wikidata.org/entity/Q811,Nicaragua,25-59 adult,287
http://www.wikidata.org/entity/Q811,Nicaragua,60+ senior,175
http://www.wikidata.org/entity/Q1032,Niger,15-24 youth,8
http://www.wikidata.org/entity/Q1032,Niger,25-59 adult,151
http://www.wikidata.org/entity/Q1032,Niger,60+ senior,163
http://www.wikidata.org/entity/Q1033,Nigeria,0-14 child,3
http://www.wikidata.org/entity/Q1033,Nigeria,15-24 youth,225
http://www.wikidata.org/entity/Q1033,Nigeria,25-59 adult,4627
http://www.wikidata.org/entity/Q1033,Nigeria,60+ senior,2047
http://www.wikidata.org/entity/Q423,North Korea,0-14 child,1
http://www.wikidata.org/entity/Q423,North Korea,15-24 youth,7
http://www.wikidata.org/entity/Q423,North Korea,25-59 adult,357
http://www.wikidata.org/entity/Q423,North Korea,60+ senior,243
http://www.wikidata.org/entity/Q221,North Macedonia,15-24 youth,45
http://www.wikidata.org/entity/Q221,North Macedonia,25-59 adult,1594
http://www.wikidata.org/entity/Q221,North Macedonia,60+ senior,1315
http://www.wikidata.org/entity/Q20,Norway,0-14 child,1
http://www.wikidata.org/entity/Q20,Norway,15-24 youth,372
http://www.wikidata.org/entity/Q20,Norway,25-59 adult,8338
http://www.wikidata.org/entity/Q20,Norway,60+ senior,13535
http://www.wikidata.org/entity/Q842,Oman,15-24 youth,8
http://www.wikidata.org/entity/Q842,Oman,25-59 adult,221
http://www.wikidata.org/entity/Q842,Oman,60+ senior,16
http://www.wikidata.org/entity/Q843,Pakistan,0-14 child,2
http://www.wikidata.org/entity/Q843,Pakistan,15-24 youth,48
http://www.wikidata.org/entity/Q843,Pakistan,25-59 adult,2799
